January 1 - 2	0	0	0	0	*			
January 2 - 3	0	0	0	0	*			
January 3 - 4	0	0	0	0	*			
January 4 - 5	0	0	0	0	*			
January 5 - 6	0	0	0	0	*			 
January 6 - 7	5	4	3	2		*		
January 7 - 8	1	0	2	2		*		
January 8 - 9	5	3	2	1		*		
January 9 - 10	0	0	0	0	*			
January 10 - 11	0	0	0	0	*			
January 11 - 12	0	0	0	0	*			
January 12 - 13	1	0	0	0	*			
January 13 - 14	0	0	0	0	*			
January 14 - 15	0	0	0	0	*			
January 15 - 16	0	0	0	0	*			
January 16 - 17	0	0	0	1	*			
January 17 - 18	0	0	0	0	*			
January 18 - 19	0	0	0	0	*			
January 19 - 20	0	0	0	0	*			
January 20 - 21	1	0	0	0	*			
January 21 - 22	2	0	0	0	*			 
January 22 - 23	0	0	0	0	*			
January 23 - 24	1	0	0	0	*			
January 24 - 25	0	0	0	0	*			
January 25 - 26	0	0	0	0	*			
January 26 - 27	0	0	0	0	*			
January 27 - 28	0	0	0	0	*			
January 28 - 29	0	0	0	0	*			
January 29 - 30	0	0	0	0	*			
January 30 - 31	1	0	0	0	*			
January 31 - 01	0	0	0	0	*			
February 1 - 2	0	0	0	0	*			
February 2 - 3	0	0	0	0	*			
February 3 - 4	0	0	1	0		*		
February 4 - 5	0	0	0	0	*			
February 5 - 6	0	0	2	3		*		 
February 6 - 7	0	0	0	0	*			
February 7 - 8	0	0	1	2		*		
February 8 - 9	1	0	0	3		*		
February 9 - 10	1	0	0	0	*			
February 10 - 11	0	0	0	0	*			
February 11 - 12	0	0	0	0	*			
February 12 - 13	0	0	0	0	*			
February 13 - 14	0	0	0	0	*			
February 14 - 15	0	0	0	0	*			
February 15 - 16	0	0	0	0	*			
February 16 - 17	0	1	4	5		*		
February 17 - 18	0	0	0	0	*			
February 18 - 19	0	0	0	0	*			
February 19 - 20	1	1	2	3		*		
February 20 - 21	0	1	1	1		*		
February 21 - 22	1	0	0	0	*	daytime storm
February 22 - 23	0	0	0	0	*			
February 23 - 24	0	0	0	0	*			
February 24 - 25	0	0	0	0	*			
February 25 - 26	0	0	0	0	*			
February 26 - 27	0	0	0	0	*			
February 27 - 28	0	0	0	0	*			
February 28 - 01	0	0	0	0	*			
March 1 - 2	0	0	0	0	*			 
March 2 - 3	0	0	0	0	*			
March 3 - 4	0	0	0	0	*			
March 4 - 5	1	0	0	0	*			
March 5 - 6	2	1	0	0		*		 
March 6 - 7	3	2	5	7		*		
March 7 - 8	3	2	0	0		*		
March 8 - 9	0	0	0	0	*			
March 9 - 10	0	0	0	0	*			
March 10 - 11	0	0	0	0	*			
March 11 - 12	1	2	3	5		*		
March 12 - 13	1	0	0	0	*			
March 13 - 14	0	0	0	0	*			
March 14 - 15	0	0	0	0	*			
March 15 - 16	0	0	0	0	*			
March 16 - 17	0	0	0	0	*			
March 17 - 18	0	0	0	0	*			
March 18 - 19	0	0	0	0	*			
